Designator,Mid X,Mid Y,Rotation,Layer
C1,122.8,-99.8,0,top
C3,167.6,-73.6,270,top
C4,158.7,-72.128939,90,top
D1,167.5,-68.703939,0,top
D2,155.6,-71.2,270,top
R1,122.05,-93.3,180,top
R2,124.6,-93.3,180,top
R3,167.84,-70.353939,0,top
R4,162.49,-68.703939,180,top
R5,151.05,-72.25,90,top
R6,116.4,-75.71,90,top
U1,123.35,-96.75,270,top
U3,163.3,-71.353939,0,top
